COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01043,35541,ARLEY,AL,0.000230154,0.000000000,0.000000000,0.000209897
01043,35098,LOGAN,AL,0.014960011,0.002915452,0.002183406,0.013888160
01043,35622,FALKVILLE,AL,0.015573755,0.001457726,0.006550218,0.014412902
01043,35056,CULLMAN,AL,0.030226893,0.104470360,0.001091703,0.035105211
01043,35621,EVA,AL,0.001879591,0.000485909,0.000000000,0.001749139
01043,35619,DANVILLE,AL,0.000268513,0.000000000,0.000000000,0.000244879
01043,35077,HANCEVILLE,AL,0.149638466,0.111758989,0.151746725,0.146945130
01043,35070,GARDEN CITY,AL,0.000000000,0.000242954,0.000000000,0.000017491
01043,35540,ADDISON,AL,0.001074052,0.000242954,0.000000000,0.000997009
01043,35019,BAILEYTON,AL,0.021270067,0.012876579,0.018558952,0.020622343
01043,35087,JOPPA,AL,0.011546060,0.002672498,0.015283843,0.010967099
01043,35083,HOLLY POND,AL,0.033544947,0.011418853,0.017467249,0.031694391
01043,35033,BREMEN,AL,0.044649878,0.009718173,0.006550218,0.041524549
01043,35053,CRANE HILL,AL,0.052225781,0.009232264,0.025109170,0.048696017
01043,35055,CULLMAN,AL,0.217169489,0.472303207,0.431222707,0.238967309
01043,35057,CULLMAN,AL,0.150770057,0.078474247,0.116812227,0.145021077
01043,35976,GUNTERSVILLE,AL,0.000230154,0.000000000,0.000000000,0.000209897
01043,35670,SOMERVILLE,AL,0.000019180,0.000000000,0.000000000,0.000017491
01043,35179,VINEMONT,AL,0.112909722,0.056122449,0.082969432,0.108341642
01043,35016,ARAB,AL,0.021020733,0.009475219,0.014192140,0.020080111
01045,36345,HEADLAND,AL,0.006285137,0.001845870,0.000000000,0.005892940
01045,36361,OZARK,AL,0.052270861,0.099215505,0.003231018,0.054342778
01045,36311,ARITON,AL,0.035373634,0.016151361,0.009693053,0.033702973
01045,36350,MIDLAND CITY,AL,0.157286337,0.071988925,0.143780291,0.151677891
01045,36303,DOTHAN,AL,0.019139663,0.043839409,0.071082391,0.021626800
01045,36374,SKIPPERVILLE,AL,0.020466174,0.011998154,0.000000000,0.019565722
